,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
1401,RJ Barrett,SG,19,NYK,56,30.4,5.2,13.0,1.1,3.5,4.1,9.5,2.8,4.5,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,28,2020
1402,Will Barton,SF,29,DEN,58,33.0,5.7,12.7,1.9,5.0,3.9,7.8,1.8,2.3,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,29,2020
1403,Keita Bates-Diop,PF-SF,24,TOT,44,16.9,2.3,5.3,0.8,2.3,1.5,3.0,1.2,1.7,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,30,2020
1404,Keita Bates-Diop,PF,24,MIN,37,17.5,2.4,5.6,0.8,2.5,1.5,3.0,1.2,1.8,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8,30,2020
1405,Keita Bates-Diop,SF,24,DEN,7,14.0,1.9,4.0,0.4,1.3,1.4,2.7,1.1,1.4,0.6,1.9,2.4,0.0,0.3,0.6,0.4,1.0,5.3,30,2020
1406,Nicolas Batum,SF,31,CHO,22,23.0,1.3,3.7,0.6,2.2,0.6,1.5,0.4,0.5,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,31,2020
1407,Aron Baynes,C,33,PHO,42,22.2,4.4,9.1,1.4,4.0,3.0,5.1,1.3,1.8,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,32,2020
1408,Kent Bazemore,SF,30,TOT,68,24.8,2.9,7.9,1.2,3.6,1.7,4.3,1.7,2.2,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,33,2020
1409,Kent Bazemore,SF,30,POR,43,25.8,2.6,7.6,1.3,4.0,1.3,3.6,1.3,1.7,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9,33,2020
1410,Kent Bazemore,SF,30,SAC,25,23.1,3.5,8.3,1.1,2.9,2.4,5.4,2.2,3.0,0.6,4.3,4.9,1.3,1.2,0.4,1.2,3.0,10.3,33,2020
1411,Darius Bazley,PF,19,OKC,61,18.5,2.0,5.2,0.8,2.3,1.2,2.9,0.7,1.0,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,34,2020
1412,Bradley Beal,SG,26,WAS,57,36.0,10.4,22.9,3.0,8.4,7.4,14.4,6.8,8.0,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,35,2020
